model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,false,,4.0,1,exec_12,12,true,150012.0,1,p0_SOFTPLUS_VARIANCE,-3.644506280905064
,MomentMatch,,FKL,false,,4.0,1,exec_12,12,true,150012.0,2,p1_MEAN,3.1293841483109235
,MomentMatch,,FKL,false,,4.0,1,exec_12,12,true,150012.0,3,p1_SOFTPLUS_VARIANCE,-1.316829743162702
,MomentMatch,,FKL,false,,4.0,1,exec_12,13,false,300012.0,0,p0_MEAN,-0.3671769372431655
,MomentMatch,,FKL,false,,4.0,1,exec_12,13,false,300012.0,1,p0_SOFTPLUS_VARIANCE,-3.6283097844641317
,MomentMatch,,FKL,false,,4.0,1,exec_12,13,false,300012.0,2,p1_MEAN,3.138259612391068
,MomentMatch,,FKL,false,,4.0,1,exec_12,13,false,300012.0,3,p1_SOFTPLUS_VARIANCE,-1.3159156970926953
,MomentMatch,,FKL,false,,4.0,9,exec_13,1,false,60.0,0,p0_MEAN,-0.4001425971718151
,MomentMatch,,FKL,false,,4.0,9,exec_13,1,false,60.0,1,p0_SOFTPLUS_VARIANCE,-3.5574777960843886
,MomentMatch,,FKL,false,,4.0,9,exec_13,1,false,60.0,2,p1_MEAN,3.1033851288806846
,MomentMatch,,FKL,false,,4.0,9,exec_13,1,false,60.0,3,p1_SOFTPLUS_VARIANCE,-0.9810070811510273
,MomentMatch,,FKL,false,,4.0,9,exec_13,2,false,132.0,0,p0_MEAN,-0.40167447220139535
,MomentMatch,,FKL,false,,4.0,9,exec_13,2,false,132.0,1,p0_SOFTPLUS_VARIANCE,-4.093312594751902
,MomentMatch,,FKL,false,,4.0,9,exec_13,2,false,132.0,2,p1_MEAN,2.978528394032518
,MomentMatch,,FKL,false,,4.0,9,exec_13,2,false,132.0,3,p1_SOFTPLUS_VARIANCE,-1.939934971202411
,MomentMatch,,FKL,false,,4.0,9,exec_13,3,false,276.0,0,p0_MEAN,-0.40133047216234496
,MomentMatch,,FKL,false,,4.0,9,exec_13,3,false,276.0,1,p0_SOFTPLUS_VARIANCE,-3.726219272988964
,MomentMatch,,FKL,false,,4.0,9,exec_13,3,false,276.0,2,p1_MEAN,3.061517575427231
,MomentMatch,,FKL,false,,4.0,9,exec_13,3,false,276.0,3,p1_SOFTPLUS_VARIANCE,-1.3828476504422231
,MomentMatch,,FKL,false,,4.0,9,exec_13,4,false,564.0,0,p0_MEAN,-0.32549127739069444
,MomentMatch,,FKL,false,,4.0,9,exec_13,4,false,564.0,1,p0_SOFTPLUS_VARIANCE,-3.512636792314964
,MomentMatch,,FKL,false,,4.0,9,exec_13,4,false,564.0,2,p1_MEAN,3.2618541382944795
,MomentMatch,,FKL,false,,4.0,9,exec_13,4,false,564.0,3,p1_SOFTPLUS_VARIANCE,-0.9574888959173146
,MomentMatch,,FKL,false,,4.0,9,exec_13,5,false,1152.0,0,p0_MEAN,-0.35372457235543625
,MomentMatch,,FKL,false,,4.0,9,exec_13,5,false,1152.0,1,p0_SOFTPLUS_VARIANCE,-3.5959229164265762
,MomentMatch,,FKL,false,,4.0,9,exec_13,5,false,1152.0,2,p1_MEAN,3.135307974080868
,MomentMatch,,FKL,false,,4.0,9,exec_13,5,false,1152.0,3,p1_SOFTPLUS_VARIANCE,-1.4529763722532958
,MomentMatch,,FKL,false,,4.0,9,exec_13,6,false,2328.0,0,p0_MEAN,-0.3551989482394831
,MomentMatch,,FKL,false,,4.0,9,exec_13,6,false,2328.0,1,p0_SOFTPLUS_VARIANCE,-3.69232937837471
,MomentMatch,,FKL,false,,4.0,9,exec_13,6,false,2328.0,2,p1_MEAN,3.1751099198355033
,MomentMatch,,FKL,false,,4.0,9,exec_13,6,false,2328.0,3,p1_SOFTPLUS_VARIANCE,-1.2468788640805268
,MomentMatch,,FKL,false,,4.0,9,exec_13,7,false,4668.0,0,p0_MEAN,-0.3804102262832437
